Time,Requests/s,Requests/hour
2018-01-24T05:16:42.000Z,310.2492139,1116897.2
2018-01-24T06:16:42.000Z,350.5630267,1262026.9
2018-01-24T07:16:42.000Z,398.5110444,1434639.8
2018-01-24T08:16:42.000Z,485.3333333,1747200.0
2018-01-24T09:16:42.000Z,550.3333333,1981200.0
2018-01-24T10:16:42.000Z,619.9814135,2231933.1
2018-01-24T11:16:42.000Z,567.4436045,2042797.0
2018-01-24T12:16:42.000Z,547.1333333,1969680.0
2018-01-24T13:16:42.000Z,603.2874265,2171834.7
2018-01-24T14:16:42.000Z,631.3283385,2272782.0
2018-01-24T15:16:42.000Z,628.0656549,2261036.4
2018-01-24T16:16:42.000Z,643,2314800.0
2018-01-24T17:16:42.000Z,520.6792505,1874445.3
2018-01-24T18:16:42.000Z,454.651028,1636743.7
2018-01-24T19:16:42.000Z,454.9962403,1637986.5
2018-01-24T20:16:42.000Z,433.3458376,1560045.0
2018-01-24T21:16:42.000Z,422.8179364,1522144.6
2018-01-24T22:16:42.000Z,387.6460828,1395525.9
2018-01-24T23:16:42.000Z,331.7315285,1194233.5
2018-01-25T00:16:42.000Z,315.7435992,1136677.0
2018-01-25T01:16:42.000Z,318.2616937,1145742.1
2018-01-25T02:16:42.000Z,300.3480446,1081253.0
2018-01-25T03:16:42.000Z,317.4659514,1142877.4
2018-01-25T04:16:42.000Z,328.7976002,1183671.4
2018-01-25T05:16:42.000Z,328.6661693,1183198.2
2018-01-25T06:16:42.000Z,373.5837047,1344901.3
2018-01-25T07:16:42.000Z,425.9328715,1533358.3
2018-01-25T08:16:42.000Z,495.9073047,1785266.3
2018-01-25T09:16:42.000Z,554.953116,1997831.2
2018-01-25T10:16:42.000Z,600.6,2162160.0
2018-01-25T11:16:42.000Z,558.9333333,2012160.0
2018-01-25T12:16:42.000Z,559.8,2015280.0
2018-01-25T13:16:42.000Z,605.6666667,2180400.0
2018-01-25T14:16:42.000Z,629.1255477,2264852.0
2018-01-25T15:16:42.000Z,526.2982056,1894673.5
2018-01-25T16:16:42.000Z,596.2,2146320.0
2018-01-25T17:16:42.000Z,501.9932113,1807175.6
2018-01-25T18:16:42.000Z,445.6195772,1604230.5
2018-01-25T19:16:42.000Z,418.6842831,1507263.4
2018-01-25T20:16:42.000Z,446.5333333,1607520.0
2018-01-25T21:16:42.000Z,485.5333333,1747920.0
2018-01-25T22:16:42.000Z,404.8666667,1457520.0
2018-01-25T23:16:42.000Z,323.6581752,1165169.4
2018-01-26T00:16:42.000Z,300.5310846,1081911.9
2018-01-26T01:16:42.000Z,308.6671528,1111201.8
2018-01-26T02:16:42.000Z,316.3098839,1138715.6
2018-01-26T03:16:42.000Z,318.5350223,1146726.1
2018-01-26T04:16:42.000Z,301.9982446,1087193.7
2018-01-26T05:16:42.000Z,276.3353824,994807.4
2018-01-26T06:16:42.000Z,297.4127459,1070685.9
2018-01-26T07:16:42.000Z,355.8,1280880.0
2018-01-26T08:16:42.000Z,422.7703402,1521973.2
2018-01-26T09:16:42.000Z,501.4793463,1805325.7
2018-01-26T10:16:42.000Z,540.8665339,1947119.5
2018-01-26T11:16:42.000Z,498.4343406,1794363.6
2018-01-26T12:16:42.000Z,484.8827067,1745577.7
2018-01-26T13:15:59.000Z,546.6964425,1968107.2
2018-01-26T14:15:59.000Z,572.699952,2061719.8
2018-01-26T15:15:59.000Z,536.5958092,1931744.9
2018-01-26T16:15:59.000Z,515.2723272,1854980.4
2018-01-26T17:15:59.000Z,461.1405116,1660105.8
2018-01-26T18:15:59.000Z,418.858041,1507889.0
2018-01-26T19:15:59.000Z,391.4385134,1409178.7
2018-01-26T20:15:59.000Z,371.9333333,1338960.0
2018-01-26T21:15:59.000Z,361.7575084,1302327.0
2018-01-26T22:15:59.000Z,316.4618492,1139262.7
2018-01-26T23:15:59.000Z,284.2,1023120.0
2018-01-27T00:15:59.000Z,272.3101519,980316.6
2018-01-27T01:15:59.000Z,235.6650934,848394.3
2018-01-27T02:15:59.000Z,225.7231241,812603.3
2018-01-27T03:15:59.000Z,213.8580465,769889.0
2018-01-27T04:15:59.000Z,206.2,742320.0
2018-01-27T05:15:59.000Z,207.4185595,746706.8
2018-01-27T06:15:59.000Z,204.5984938,736554.6
2018-01-27T07:15:59.000Z,214.9373478,773774.5
2018-01-27T08:15:59.000Z,209.8561181,755482.0
2018-01-27T09:15:59.000Z,250.8247131,902969.0
2018-01-27T10:15:59.000Z,245.670498,884413.8
2018-01-27T11:15:59.000Z,246.8015468,888485.6
2018-01-27T12:15:59.000Z,247.8815902,892373.7
2018-01-27T13:15:59.000Z,278.5333333,1002720.0
2018-01-27T14:15:59.000Z,279.150937,1004943.4
2018-01-27T15:15:59.000Z,270.1981823,972713.5
2018-01-27T16:15:59.000Z,263.9302654,950149.0
2018-01-27T17:15:59.000Z,260.7328402,938638.2
2018-01-27T18:15:59.000Z,246.8,888480.0
2018-01-27T19:15:59.000Z,249.3504984,897661.8
2018-01-27T20:15:59.000Z,265.2567811,954924.4
2018-01-27T21:15:59.000Z,231.3351443,832806.5
2018-01-27T22:15:59.000Z,221.3715996,796937.8
2018-01-27T23:15:59.000Z,238.868147,859925.3
2018-01-28T00:15:59.000Z,201.9250706,726930.3
2018-01-28T01:15:59.000Z,199.4012134,717844.4
2018-01-28T02:15:59.000Z,203.7964448,733667.2
2018-01-28T03:15:59.000Z,185.0530183,666190.9
2018-01-28T04:15:59.000Z,181.6047749,653777.2
2018-01-28T05:15:59.000Z,178.341675,642030.0
2018-01-28T06:15:59.000Z,202.3200124,728352.0
2018-01-28T07:15:59.000Z,199.7333333,719040.0
2018-01-28T08:15:59.000Z,201.5908422,725727.0
2018-01-28T09:15:59.000Z,214.1497065,770938.9
2018-01-28T10:15:59.000Z,234.8826103,845577.4
2018-01-28T11:15:59.000Z,233.5333333,840720.0
2018-01-28T12:15:59.000Z,243.7268602,877416.7
2018-01-28T13:15:59.000Z,258.2801668,929808.6
2018-01-28T14:15:59.000Z,270.1512547,972544.5
2018-01-28T15:15:59.000Z,264.3311542,951592.2
2018-01-28T16:15:59.000Z,258.7373921,931454.6
2018-01-28T17:15:59.000Z,268.727965,967420.7
2018-01-28T18:15:59.000Z,269.0096135,968434.6
2018-01-28T19:15:59.000Z,261.2,940320.0
2018-01-28T20:15:59.000Z,263.8825277,949977.1
2018-01-28T21:15:59.000Z,267.2733266,962184.0
2018-01-28T22:15:59.000Z,257.5470452,927169.4
2018-01-28T23:15:59.000Z,232.3084966,836310.6
2018-01-29T00:15:59.000Z,224.9157508,809696.7
2018-01-29T01:15:59.000Z,256.5544054,923595.9
2018-01-29T02:15:59.000Z,263.691392,949289.0
2018-01-29T03:15:59.000Z,277.3021025,998287.6
2018-01-29T04:15:59.000Z,273.9180924,986105.1
2018-01-29T05:15:59.000Z,291.8142994,1050531.5
2018-01-29T06:15:59.000Z,324.1333333,1166880.0
2018-01-29T07:15:59.000Z,415.9971513,1497589.7
2018-01-29T08:15:59.000Z,494.335076,1779606.3
2018-01-29T09:15:59.000Z,557.8669273,2008320.9
2018-01-29T10:15:59.000Z,632.0109704,2275239.5
2018-01-29T11:15:59.000Z,582.6497615,2097539.1
2018-01-29T12:15:59.000Z,564.0630669,2030627.0
2018-01-29T13:15:59.000Z,621.1950973,2236302.4
2018-01-29T14:15:59.000Z,646.8052194,2328498.8
2018-01-29T15:15:59.000Z,668.8119608,2407723.1
2018-01-29T16:15:59.000Z,593.2666667,2135760.0
2018-01-29T17:15:59.000Z,515.8,1856880.0
2018-01-29T18:15:59.000Z,473.6663382,1705198.8
2018-01-29T19:15:59.000Z,463.9375603,1670175.2
2018-01-29T20:15:59.000Z,446.2729431,1606582.6
2018-01-29T21:15:59.000Z,431.6801661,1554048.6
2018-01-29T22:15:59.000Z,403.644616,1453120.6
2018-01-29T23:15:59.000Z,349.8288323,1259383.8
2018-01-30T00:15:59.000Z,318.0713162,1145056.7
2018-01-30T01:15:59.000Z,321.2721515,1156579.8
2018-01-30T02:15:59.000Z,311.7123613,1122164.5
2018-01-30T03:15:59.000Z,319.4275379,1149939.1
2018-01-30T04:15:59.000Z,321.3645063,1156912.2
2018-01-30T05:15:59.000Z,339.8858194,1223589.0
2018-01-30T06:15:59.000Z,377.8076181,1360107.4
2018-01-30T07:15:59.000Z,421.5944807,1517740.1
2018-01-30T08:15:59.000Z,511.9333333,1842960.0
2018-01-30T09:15:59.000Z,564.3999694,2031839.9
2018-01-30T10:15:59.000Z,624.2365473,2247251.6
2018-01-30T11:15:59.000Z,581.5237963,2093485.7
2018-01-30T12:15:59.000Z,565.0835686,2034300.9
2018-01-30T13:15:59.000Z,607.271147,2186176.1
2018-01-30T14:15:59.000Z,610.4884858,2197758.6
2018-01-30T15:15:59.000Z,623.9239124,2246126.1
2018-01-30T16:15:59.000Z,604.3423073,2175632.3
2018-01-30T17:15:59.000Z,534.7298089,1925027.3
2018-01-30T18:15:59.000Z,462.8525777,1666269.3
2018-01-30T19:15:59.000Z,458.1860515,1649469.8
2018-01-30T20:15:59.000Z,471.9965291,1699187.5
2018-01-30T21:15:59.000Z,452.7931871,1630055.5
2018-01-30T22:15:59.000Z,394.7826547,1421217.6
2018-01-30T23:15:59.000Z,350.3889452,1261400.2
2018-01-31T00:15:59.000Z,311.2246602,1120408.8
2018-01-31T01:15:59.000Z,296.01797,1065664.7
2018-01-31T02:15:59.000Z,313.9978224,1130392.2
2018-01-31T03:15:59.000Z,324.000067,1166400.2
2018-01-31T04:15:59.000Z,304.2450376,1095282.1
2018-01-31T05:15:59.000Z,332.4998135,1196999.3
2018-01-31T06:15:59.000Z,359.1361735,1292890.2
2018-01-31T07:15:59.000Z,396.4024846,1427048.9
2018-01-31T08:15:59.000Z,471.6817835,1698054.4
2018-01-31T09:15:59.000Z,576.8782131,2076761.6
2018-01-31T10:15:59.000Z,630.7412998,2270668.7
2018-01-31T11:15:59.000Z,566.8155711,2040536.1
2018-01-31T12:15:59.000Z,569.7610245,2051139.7
2018-01-31T13:15:59.000Z,605.5626647,2180025.6
2018-01-31T14:15:59.000Z,644.2463211,2319286.8
2018-01-31T15:15:59.000Z,582.3105665,2096318.0
2018-01-31T16:15:59.000Z,562.5677639,2025244.0
2018-01-31T17:15:59.000Z,529.4666667,1906080.0
2018-01-31T18:15:59.000Z,457.6948818,1647701.6
2018-01-31T19:15:59.000Z,432.996658,1558788.0
2018-01-31T20:15:59.000Z,424.4669649,1528081.1
2018-01-31T21:15:59.000Z,404.3971024,1455829.6
2018-01-31T22:15:59.000Z,376.2223426,1354400.4
2018-01-31T23:15:59.000Z,337.92605,1216533.8
2018-02-01T00:15:59.000Z,436.7283405,1572222.0
2018-02-01T01:15:59.000Z,457.4602715,1646857.0
2018-02-01T02:15:59.000Z,472.6157176,1701416.6
2018-02-01T03:15:59.000Z,479.9030349,1727650.9
2018-02-01T04:15:59.000Z,449.2212833,1617196.6
2018-02-01T05:15:59.000Z,435.3995515,1567438.4
2018-02-01T06:15:59.000Z,431.2666667,1552560.0
2018-02-01T07:15:59.000Z,483.8039262,1741694.1
2018-02-01T08:15:59.000Z,548.4038531,1974253.9
2018-02-01T09:15:59.000Z,612.3291869,2204385.1
2018-02-01T10:15:59.000Z,663.5333333,2388720.0
2018-02-01T11:15:59.000Z,631.3692705,2272929.4
2018-02-01T12:15:59.000Z,641.4706714,2309294.4
2018-02-01T13:15:59.000Z,676.4636915,2435269.3
2018-02-01T14:15:59.000Z,697.2853739,2510227.4
2018-02-01T15:15:59.000Z,678.5596935,2442814.9
2018-02-01T16:15:59.000Z,655.2711425,2358976.1
2018-02-01T17:15:59.000Z,631.0677388,2271843.9
2018-02-01T18:15:59.000Z,544.5256174,1960292.2
2018-02-01T19:15:59.000Z,544.9962986,1961986.7
2018-02-01T20:15:59.000Z,551.7239322,1986206.2
2018-02-01T21:15:59.000Z,549.8666667,1979520.0
2018-02-01T22:15:59.000Z,517.9364186,1864571.1
2018-02-01T23:15:59.000Z,464.8114599,1673321.3
2018-02-02T00:15:59.000Z,393.3975068,1416231.0
2018-02-02T01:15:59.000Z,468.525432,1686691.6
2018-02-02T02:15:59.000Z,440.5702418,1586052.9
2018-02-02T03:15:59.000Z,423.4032313,1524251.6
2018-02-02T04:15:59.000Z,407.9020231,1468447.3
2018-02-02T05:15:59.000Z,392.466987,1412881.2
2018-02-02T06:15:59.000Z,414.3806473,1491770.3
2018-02-02T07:15:59.000Z,469.2605739,1689338.1
2018-02-02T08:15:59.000Z,524.0292067,1886505.1
2018-02-02T09:15:59.000Z,568.004747,2044817.1
